Popularity,Stie,Relate 1,Distance,Relate 2,Distance,Relate 3,Distance,Relate 4,Distance,Relate 5,Distance,Relate 6,Distance,Relate 7,Distance,Relate 8,Distance,Relate 9,Distance,Relate 10,Distance
11,恭王府,煙袋斜街,1526,北京鼓樓,2199,北京歡樂谷,22216,文宇奶酪店(南鑼鼓巷店),2421,銀錠橋,1415,姚記炒肝店（鼓樓店）,2005,世貿天階,8545,中國美術館,4261,慶豐包子鋪(西三旗店),17721,簋街小吃,5124
12,八達嶺長城,東來順(前門大街店),78525,北京動物園,70032,798藝術區,73429,北京奧林匹克公園,64611,雍和宮,69815,北京慕田峪長城,73333,文宇奶酪店(南鑼鼓巷店),68912,中央廣播電視塔,73358,三里屯,74449,正陽門,78697
13,前門大街,人民英雄紀念碑,1752,天壇,3749,北京全聚德(王府井店),3865,中國國家博物館,1872,國家大劇院,2463,王府井小吃街,3373,西單商業街,4307,匯友湘菜,659,長安街,2215982,鮮魚口老字號美食街,614
14,北海公園,南鑼鼓巷,2619,什剎海,3900,王府井小吃街,3536,後海公園,3841,什剎海酒吧街,3899,人民英雄紀念碑,5523,北京慕田峪長城,75369,798藝術區,15137,姚記炒肝店（鼓樓店）,2389,簋街小吃,4745
15,清華大學,北京大學,3364,頤和園,5336,中央廣播電視塔,12877,四季民福烤鴨店（燈市口店）,16423,北京動物園,10354,香山公園,15591,三里屯,18320,北京國家體育場,9067,國家游泳中心,9021,北京玲瓏塔,8875
16,國家游泳中心,八達嶺長城,59577,北京動物園,11486,中央廣播電視塔,15939,東來順(前門大街店),19534,北京奧林匹克公園,319,北京玲瓏塔,773,雍和宮,7093,三里屯,11987,北京小弔梨湯（新奧店）,6894,北京植物園,21360
17,煙袋斜街,恭王府,1791,北京鼓樓,549,後海公園,1845,銀錠橋,840,文宇奶酪店(南鑼鼓巷店),894,世貿天階,7359,姚記炒肝店（鼓樓店）,458,北京歡樂谷,20410,王府井,4012,中國美術館,3074
18,北京大學,清華大學,3197,四季民福烤鴨店（燈市口店）,17852,昆明湖,4033,北京動物園,11228,香山公園,13278,中央廣播電視塔,11545,三里屯,19716,首都博物館,15571,北京國家體育場,10463,柏林寺,15424
19,798藝術區,三里屯,10268,北京慕田峪長城,68533,護國寺小吃店（護國寺總店）,15900,北京奧林匹克公園,12151,東來順(前門大街店),18817,什剎海酒吧街,15749,奧林匹克森林公園,12151,雍和宮,10646,明十三陵,49084,北京孔廟,10972
20,中國國家博物館,毛主席紀念堂,1263,王府井步行街,2138,王府井小吃街,2086,前門大街,2679,天壇,4346,國家大劇院,2409,北京全聚德(王府井店),2587,人民英雄紀念碑,2339,長安街,2218025,僑福芳草地購物中心,6572
21,雍和宮,北京奧林匹克公園,7048,798藝術區,10172,三里屯,4999,東來順(前門大街店),11266,文宇奶酪店(南鑼鼓巷店),4077,後海公園,4396,護國寺小吃店（護國寺總店）,5753,奧林匹克森林公園,7048,中央廣播電視塔,13596,北京國子監,970
22,後海公園,文宇奶酪店(南鑼鼓巷店),3380,北京鼓樓,3116,護國寺小吃店（護國寺總店）,1477,雍和宮,4337,北京奧林匹克公園,8088,798藝術區,14095,北京慕田峪長城,74045,姚記炒肝店（鼓樓店）,2660,奧林匹克森林公園,8088,北京孔廟,4663
23,天安門城樓,太和殿,927,毛主席紀念堂,839,王府井步行街,2398,午門,576,四季民福烤鴨店（故宮店）,2018,海碗居(王府井店),12483,天安門廣場,510,中國國家博物館,1442,景山公園,3052,王府井天主教堂,2086
24,三里屯,什剎海酒吧街,10538,798藝術區,9471,中央廣播電視塔,21980,護國寺小吃店（護國寺總店）,7726,北京慕田峪長城,72032,香山公園,31413,雍和宮,5435,北京奧林匹克公園,13189,北京孔廟,5761,奧林匹克森林公園,13189
25,毛主席紀念堂,王府井步行街,2370,中國國家博物館,351,太和殿,1766,四季民福烤鴨店（故宮店）,2970,王府井小吃街,2317,國家大劇院,1146,僑福芳草地購物中心,6771,午門,1415,人民大會堂,1176,海碗居(王府井店),13106
26,大柵欄商業街,北京國子監,13929,國家奧林匹克體育中心,19381,正陽門,2248,北京定陵,51566,護國寺小吃店(地安門店),6906,北京全聚德,1152,五道營衚衕,15964,首都博物館,10029,世貿天階,9560,人民大會堂,3523
27,人民大會堂,簋街小吃,10501,北京角樓,4738,慶豐包子鋪(西三旗店),26217,國家大劇院,1432,世貿天階,7234,姚記炒肝店（鼓樓店）,6510,北京中央電視臺,9252,鮮魚口老字號美食街,2219,北京全聚德,2223,西單商業街,3916
28,西單商業街,北京全聚德(王府井店),5404,人民英雄紀念碑,4473,國家大劇院,2713,慶豐包子鋪(西三旗店),23745,姚記炒肝店（鼓樓店）,5815,人民大會堂,3111,簋街小吃,13727,世貿天階,8690,鮮魚口老字號美食街,5331,正陽門,5020
29,世貿天階,鮮魚口老字號美食街,7416,五道營衚衕,10422,姚記炒肝店（鼓樓店）,10572,簋街小吃,5740,慶豐包子鋪(西三旗店),26023,北京中央電視臺,2393,北京慕田峪長城,74967,北京角樓,4279,文宇奶酪店(南鑼鼓巷店),7062,人民大會堂,6208
30,明十三陵,北京慕田峪長城,37309,北京奧林匹克公園,36420,798藝術區,45238,五道營衚衕,41071,世貿天階,48813,奧林匹克森林公園,36420,東來順(前門大街店),50333,三里屯,46258,姚記炒肝店（鼓樓店）,40001,北京孔廟,41949
